event,lat_mean,lon_mean
1,24.7604718906,119.1447942744
2,-20.14838934792381,115.04141024210757
3,-20.143041106460608,115.04894939254245
4,-20.14827877726637,115.04019600949731
5,-20.148356107893022,115.04026849756046
6,36.64146204342292,122.38620719021458
7,58.78142008537631,1.9021242829394738
8,58.78121648206812,1.9025633142739131
9,58.780797586199995,1.90133198715
10,58.781227855298226,1.9021727850844052
11,58.78133885905,1.90259883335
12,8.008539689554839,98.8321135742258
13,24.86321813125,120.90382127379999
14,25.0130553544,121.00590388099998
15,4.291191477026732,8.201613133919802
16,-15.0970558252,-134.50340773936668
17,-15.248379105911429,-134.10887906676572
18,-10.7352359925,-144.0446045277
19,-8.9972847847,-144.9821627653
20,1.3523350873020834,152.7884380490125
21,-0.979653939,149.0530154566
22,1.02610322945,152.29987595889997
23,18.399923195,-93.7952483707
24,18.4000039064104,-93.794518567152
25,18.399597372944584,-93.79470759229
26,18.399797665859214,-93.79517150014516
27,18.39989068515611,-93.79454135991803
28,18.399935259613425,-93.79478652514398
29,18.3998127538807,-93.79475229243816
30,18.400032818301234,-93.79472099732098
31,18.39988797025065,-93.79469565565019
32,18.39975477202339,-93.79462725288889
33,18.4001333649,-93.7944891571
34,58.57894197245,156.7650278955
35,4.814050947354838,100.42957416042903
36,63.8505271017,-23.2651937946
37,-15.9303439594,-129.4643329812
38,-12.7882050484,45.2562688326
39,-12.7883093758,45.2568079659
40,-12.789283757244643,45.257779300371425
41,38.2618023761,121.0698189474
42,17.8559543006,71.23784930390002
43,18.130469297805952,-179.0805212070631
44,62.86339061555842,8.158844476430085
45,-15.544523074774808,-130.14111513671682
46,39.1588070969,119.8743047232
47,-9.39779061793472,155.93347839903262
48,-0.6287599213,153.7693804124
49,-10.7348325728332,155.56469966543557
50,-8.33657714744213,153.62219668947682
51,-0.7478790412707865,154.32163392819888
52,-64.84240789709999,-62.538282760099996
53,-62.98196536575,-60.5607050249
54,-65.0690992512,-64.0287736077
55,-46.16955400803695,-60.574817486052176
56,-10.299360310382493,150.76650678400682
57,21.28226225352381,111.0394328480075
58,3.16271468329661,140.9233455874983
59,2.986546903,140.9610058342
60,3.0584634507,140.9903187515
61,37.195567674926046,15.57763132349479
62,65.1380481835,-13.3979044356
63,64.44127110860308,-13.991974721307692
64,17.27450846275,71.63264842735
65,29.440650043,-92.0626608447
66,24.799716633,119.1331511493
67,24.7495601822,118.9896919666
68,14.439646118366841,-17.298219002948446
69,27.370134076569116,-89.92466636114119
70,36.51552519145,122.42120410199999
71,5.675895583256927,115.8088487473524
72,29.6036122733,-94.3680350337
73,24.668243004905595,119.22919196711469
74,-27.8616175482,-48.3727398834
75,-29.922703870566668,-49.955828675392596
76,28.415975089350002,-89.01725460325001
77,24.822962411410522,119.1053718957851
78,-17.68712542631356,178.59191187834915
79,-17.682725549,178.5843676572
80,-17.6863346803,178.5856783124
81,-17.6752852213,178.5865521886
82,-17.68369969339178,178.58353109735341
83,-17.683198137102632,178.5850264488092
84,-17.675829393036,178.58727852037998
85,-17.68258821792111,178.58452470231612
86,-1.4463215324,116.6391771012
87,25.256605272370372,119.87551078400371
88,-15.685926077899998,-84.17458774400001
89,-61.5354627698,34.8152683959
90,-61.537334467436175,34.81339369302872
91,-61.53591612149953,34.81197327097043
92,-61.53777891160001,34.8108006327
93,-61.54147923490001,34.8123085207
94,-61.5464283487,34.8113357427
95,-61.5412427923,34.8123207544
96,-61.53619777317873,34.813257270041376
97,-61.54830577350889,34.81331730269555
98,-61.549010876372,34.811501947905
99,-61.54686826268102,34.81140653223615
100,-61.538244101771696,34.81229053675094
101,-61.5488151345,34.8110049607
102,-1.7791123056,-144.3263165001
103,4.3621042809,8.3661217253
104,87.11178346561111,115.05746514744445
105,87.4665864641,97.0181535211
106,21.0413306919,108.3159377818
107,25.347496456472097,120.19122904026977
108,7.443911149073895,-56.03847276733013
109,7.444888836799452,-56.03807077865836
110,7.444825137379452,-56.03809568481644
111,7.443848200101799,-56.03829000972261
112,7.4447409991999995,-56.037305681999996
113,7.515821914518966,-56.22693625354655
114,7.44413265358241,-56.03795553703746
115,7.515731205425025,-56.227117228351396
116,-18.4291957734,-112.6153414434
117,34.72660900900658,126.10517290717236
118,32.984681213765,-151.58647136707498
119,33.1751873314,-152.5899022649
120,32.987069281050005,-151.09296403246802
121,32.9953638922,-151.7673889829
122,33.20410315249697,-152.54726520005457
123,38.31934522879401,120.64090160138377
124,38.31557190805439,120.62678635077368
125,-13.0977976458,169.4956036667
126,35.67358296942121,120.65607296645352
127,58.203581283894685,-6.892427437839361
128,58.21577013833528,-6.756822629310295
129,21.2871116968,109.4916791855
130,-52.6366421513,-70.2000253505
131,25.573542093100002,55.0601764687
132,-3.7708983566882788,115.6383983229099
133,-3.7771613593679243,115.63629234862265
134,5.88944145379596,102.47307283139142
135,5.8889988995,102.4730787484
136,24.705876495764517,118.99860155348709
137,24.6605871311,119.01410595
138,3.67300169050219,8.446321751048176
139,61.90903033998648,5.465526159732431
140,61.90928856713332,5.46431362682
141,-2.6940528497,-104.44434012600001
142,34.7201298393,125.9344724677
143,34.7194564624,125.93247002680002
144,-4.5331832606,11.4245287823
145,-4.5334572386,11.4254066793
146,-4.532807667512308,11.425675742726154
147,-4.5341478104499995,11.426156912099998
148,3.0888516401923076,6.703591294146153
149,38.4255505444,119.063908036
150,0.27548338195555555,-91.61784411730633
151,0.2764744212,-91.61639615340002
152,0.27666577908478257,-91.61873917738478
