label,lon,lat
A,-167.1401066667,-1.0670933333
A,-167.13848,-1.06792
A,-167.13616,-1.0690666667
A,-167.13384,-1.0702133333
A,-167.1313866667,-1.0714666667
A,-167.1290666667,-1.0725866667
A,-167.12672,-1.0737866667
A,-167.1223733333,-1.0759733333
A,-167.1219733333,-1.07616
A,-167.0977166667,-1.0885833333
A,-167.0914666667,-1.0918333333
A,-167.0871733333,-1.09408
A,-167.0859833333,-1.0947
A,-167.0848,-1.09525
A,-167.08085,-1.09725
A,-167.0796333333,-1.0979166667
A,-167.0579733333,-1.1090933333
A,-167.0393666667,-1.1188166667
A,-167.0345833333,-1.1211166667
A,-167.0297066667,-1.12352
A,-167.02784,-1.1244533333
A,-167.0254933333,-1.1255733333
A,-167.02304,-1.12672
A,-167.01984,-1.1281866667
A,-167.01785,-1.1291666667
A,-167.0121866667,-1.1318666667
A,-167.0097333333,-1.13304
A,-167.0085333333,-1.1335733333
A,-167.0061333333,-1.1348
A,-167.0037333333,-1.13592
A,-167.0013066667,-1.1370666667
A,-166.99896,-1.13824
A,-166.9961066667,-1.1395733333
A,-166.9941333333,-1.1405066667
A,-166.9913333333,-1.1418666667
A,-166.9893333333,-1.1427733333
A,-166.9845066667,-1.1450666667
A,-166.9820266667,-1.1461866667
A,-166.9808533333,-1.1467733333
A,-166.9769066667,-1.14864
A,-166.9584666667,-1.1573666667
A,-166.9508266667,-1.16104
A,-166.94925,-1.1617666667
A,-166.9483733333,-1.1622133333
A,-166.9455466667,-1.1635733333
A,-166.9435733333,-1.1645066667
A,-166.94072,-1.1658666667
A,-166.9375733333,-1.1673066667
A,-166.9358666667,-1.16808
A,-166.9339733333,-1.16896
A,-166.92664,-1.1723733333
A,-166.9245866667,-1.1733866667
A,-166.9165333333,-1.17712
A,-166.9141866667,-1.1781866667
A,-166.9113066667,-1.17952
A,-166.9089333333,-1.18064
A,-166.9068266667,-1.1816
A,-166.9044,-1.1827733333
A,-166.902,-1.1838666667
A,-166.8994666667,-1.18504
A,-166.89712,-1.18616
A,-166.8946666667,-1.18728
A,-166.8922666667,-1.1884
A,-166.88904,-1.18992
A,-166.88744,-1.1906666667
A,-166.8841333333,-1.1921866667
A,-166.8825333333,-1.1929066667
A,-166.8801066667,-1.1940533333
A,-166.8777333333,-1.1951466667
A,-166.8724,-1.1976266667
A,-166.8703733333,-1.1985866667
A,-166.8694933333,-1.1989866667
A,-166.8679733333,-1.1997333333
A,-166.8642133333,-1.20144
A,-166.86224,-1.2024
A,-166.85968,-1.2036
A,-166.8572533333,-1.2047466667
A,-166.8548,-1.20584
A,-166.8523733333,-1.2069333333
A,-166.84824,-1.2088
A,-166.84264,-1.2115466667
A,-166.8318933333,-1.2165333333
A,-166.8225333333,-1.2209333333
A,-166.80424,-1.22952
A,-166.8005333333,-1.23128
A,-166.7997866667,-1.2316533333
A,-166.7961066667,-1.23344
A,-166.7944533333,-1.2342133333
A,-166.7878666667,-1.2373333333
A,-166.78215,-1.2401166667
A,-166.7780333333,-1.2421166667
A,-166.7773,-1.24245
A,-166.7732833333,-1.2443833333
A,-166.7723666667,-1.2448
A,-166.7675,-1.2471333333
A,-166.7645833333,-1.2485833333
A,-166.7614,-1.2501166667
A,-166.76015,-1.25075
A,-166.72104,-1.2692
A,-166.7185866667,-1.2703466667
A,-166.70872,-1.2750133333
A,-166.70528,-1.27664
A,-166.7028266667,-1.27784
A,-166.68935,-1.2842333333
A,-166.6811166667,-1.2881
A,-166.6773833333,-1.2899
A,-166.66965,-1.2936
A,-166.6650666667,-1.2957866667
A,-166.6521333333,-1.3020266667
A,-166.64885,-1.3036
A,-166.5923,-1.3300833333
A,-166.55416,-1.3474666667
A,-166.5516266667,-1.3485866667
A,-166.5504,-1.3491733333
A,-166.54832,-1.3501333333
A,-166.54624,-1.3511733333
A,-166.5438666667,-1.35224
A,-166.5409066667,-1.3536
A,-166.5389066667,-1.3545333333
A,-166.536,-1.35584
A,-166.5331733333,-1.3571733333
A,-166.5302666667,-1.35856
A,-166.5282133333,-1.35952
A,-166.5261866667,-1.3604533333
A,-166.5241866667,-1.3613866667
A,-166.5216266667,-1.36256
A,-166.5183466667,-1.3641066667
A,-166.51424,-1.3659733333
A,-166.5117866667,-1.36712
A,-166.5092,-1.3682933333
A,-166.5068,-1.3694666667
A,-166.5035666667,-1.371
A,-166.5011166667,-1.3721833333
A,-166.49576,-1.3748
A,-166.4945066667,-1.3753866667
A,-166.4917066667,-1.3766933333
A,-166.4896,-1.3776533333
A,-166.4872266667,-1.3788266667
A,-166.4783,-1.3831333333
A,-166.4518666667,-1.3959833333
A,-166.4494833333,-1.3971166667
A,-166.4429833333,-1.4003166667
A,-166.43985,-1.4018333333
A,-166.43776666670001,-1.4027666667
A,-166.4345666667,-1.4043
A,-166.4207666667,-1.411
A,-166.4159166667,-1.4133166667
A,-166.34432,-1.4475733333
A,-166.3427733333,-1.4482933333
A,-166.33824,-1.4504
A,-166.33584,-1.4515733333
A,-166.3334666667,-1.45272
A,-166.3309866667,-1.4539466667
A,-166.3286133333,-1.4550933333
A,-166.3261866667,-1.45624
A,-166.3237066667,-1.45744
A,-166.3209866667,-1.4588
A,-166.3189066667,-1.45984
A,-166.3165066667,-1.4609866667
A,-166.3145333333,-1.4619466667
A,-166.3117333333,-1.4632533333
A,-166.3097066667,-1.4642133333
A,-166.3068533333,-1.4656
A,-166.30488,-1.4665333333
A,-166.3021066667,-1.4678933333
A,-166.2995733333,-1.4690666667
A,-166.2972,-1.4702133333
A,-166.2947733333,-1.4713866667
A,-166.2923733333,-1.4725333333
A,-166.2896,-1.4738666667
A,-166.28752,-1.47488
A,-166.28504,-1.4760533333
A,-166.2826666667,-1.4771733333
A,-166.28016,-1.4784
A,-166.2781866667,-1.4793333333
A,-166.2753866667,-1.4807466667
A,-166.2729866667,-1.4818666667
A,-166.2709066667,-1.48288
A,-166.2685066667,-1.4840533333
A,-166.2655833333,-1.48545
A,-166.2632266667,-1.4865866667
A,-166.2611733333,-1.4875733333
A,-166.2586933333,-1.4887733333
A,-166.2554666667,-1.49032
A,-166.2538133333,-1.4910933333
A,-166.1855833333,-1.5238833333
A,-166.14152,-1.5449333333
A,-166.14072,-1.5453333333
A,-166.13872,-1.5462666667
A,-166.13632,-1.54744
A,-166.1321866667,-1.5493866667
A,-166.1313866667,-1.5497333333
A,-166.1289066667,-1.5509866667
A,-166.1265066667,-1.5521333333
A,-166.124,-1.5533066667
A,-166.1178666667,-1.5562933333
A,-166.1166133333,-1.5569066667
A,-166.0725666667,-1.578
A,-166.0648333333,-1.5817833333
A,-166.06155,-1.5834
A,-166.0586166667,-1.5847833333
A,-166.0553666667,-1.5863333333
A,-166.0533833333,-1.5873166667
A,-166.0504666667,-1.5887333333
A,-166.0492666667,-1.5893333333
A,-166.04715,-1.59035
A,-166.0446666667,-1.5915466667
A,-166.04184,-1.5929333333
A,-166.0397066667,-1.5939733333
A,-166.0364533333,-1.59552
A,-166.0204666667,-1.6032
A,-166.0057333333,-1.6103166667
A,-166.0012333333,-1.61245
A,-165.95695,-1.6338666667
A,-165.9566,-1.6340333333
A,-165.9528833333,-1.6357833333
A,-165.95125,-1.63655
A,-165.9492,-1.63755
A,-165.9466666667,-1.63875
A,-165.9344,-1.6445666667
A,-165.93195,-1.6457666667
A,-165.9058833333,-1.6583833333
A,-165.90175,-1.6603833333
A,-165.9001866667,-1.6611733333
A,-165.8981866667,-1.66216
A,-165.89576,-1.66336
A,-165.8933333333,-1.6645066667
A,-165.8908533333,-1.6657333333
