lon_bin,lat_bin,hours
-179.5,-77.5,20.410000000000007
-179.5,-76.5,10.241527777777776
-179.5,-75.5,5.7245833333333325
-179.5,-74.5,1.8152777777777775
-179.5,-73.5,4.8941666666666706
-179.5,-72.5,187.85541666666668
-179.5,-71.5,101.61527777777776
-179.5,-70.5,2.551388888888889
-179.5,-69.5,46.26041666666666
-179.5,-68.5,18.52263888888889
-179.5,-67.5,5.67777777777778
-179.5,-65.5,19.485972222222223
-179.5,-64.5,140.6051388888889
-179.5,-55.5,1.033472222222222
-179.5,-54.5,7.845972222222224
-179.5,-53.5,0.647222222222223
-179.5,-51.5,1.033888888888889
-179.5,-50.5,7.750555555555554
-179.5,-49.5,10.635833333333334
-179.5,-48.5,7.45097222222222
-179.5,-46.5,6.762500000000003
-179.5,-45.5,2.5913888888888836
-179.5,-44.5,261.7343055555556
-179.5,-43.5,828.4020833333333
-179.5,-42.5,688.2148611111111
-179.5,-41.5,15.761944444444447
-179.5,-39.5,3.1240277777777767
-179.5,-38.5,7.71916666666667
-179.5,-37.5,0.7726388888888893
-179.5,-36.5,3.1416666666666666
-179.5,-35.5,29.334166666666665
-179.5,-34.5,18.187916666666663
-179.5,-33.5,5.874027777777782
-179.5,-32.5,2.11666666666667
-179.5,-30.5,24.468611111111112
-179.5,-29.5,19.824444444444442
-179.5,-28.5,22.013333333333335
-179.5,-27.5,2.278611111111112
-179.5,-26.5,39.197500000000005
-179.5,-25.5,703.8544444444444
-179.5,-24.5,437.11694444444447
-179.5,-23.5,54.84583333333334
-179.5,-22.5,153.29680555555555
-179.5,-21.5,1360.497361111111
-179.5,-20.5,1264.9834722222222
-179.5,-19.5,1209.7704166666667
-179.5,-18.5,1470.8200000000002
-179.5,-17.5,2441.7200000000003
-179.5,-16.5,3843.0797222222222
-179.5,-15.5,1997.453888888889
-179.5,-14.5,1494.7295833333333
-179.5,-13.5,331.40833333333336
-179.5,-12.5,228.52930555555557
-179.5,-11.5,613.2226388888888
-179.5,-10.5,1749.486111111111
-179.5,-9.5,2092.1916666666666
-179.5,-8.5,1765.7456944444443
-179.5,-7.5,2472.585416666667
-179.5,-6.5,1574.871111111111
-179.5,-5.5,2462.51125
-179.5,-4.5,6921.896805555555
-179.5,-3.5,8679.526666666667
-179.5,-2.5,5967.139166666667
-179.5,-1.5,2150.5670833333334
-179.5,-0.5,631.8297222222222
-179.5,0.5,116.41069444444443
-179.5,1.5,163.68722222222223
-179.5,2.5,685.5365277777778
-179.5,3.5,2315.7013888888887
-179.5,4.5,4163.967361111111
-179.5,5.5,3195.5940277777777
-179.5,6.5,1021.9438888888889
-179.5,7.5,713.0158333333333
-179.5,8.5,225.0026388888889
-179.5,9.5,111.07944444444443
-179.5,10.5,223.3129166666667
-179.5,11.5,866.7455555555556
-179.5,12.5,2388.91875
-179.5,13.5,1454.8933333333334
-179.5,14.5,590.2475000000001
-179.5,15.5,273.9245833333333
-179.5,16.5,446.6987500000001
-179.5,17.5,359.84874999999994
-179.5,18.5,179.01472222222213
-179.5,19.5,132
-179.5,20.5,156.94152777777782
-179.5,21.5,79.55763888888889
-179.5,22.5,51.224305555555546
-179.5,23.5,83.41458333333333
-179.5,24.5,111.98458333333332
-179.5,25.5,80.96097222222222
-179.5,26.5,2.33125
-179.5,29.5,49.846805555555555
-179.5,30.5,38.18138888888889
-179.5,31.5,183.28236111111113
-179.5,32.5,443.02944444444444
-179.5,33.5,296.72236111111107
-179.5,34.5,82.49125000000004
-179.5,35.5,161.12819444444443
-179.5,36.5,209.9873611111111
